x, y
-3.0, -7.086167395737192
-2.0, -1.0997501702946164
-1.0, -1.1883951057781212
-0.5, -2.085829642933488
0.5, 2.085829642933488
1.0, 1.1883951057781212
2.0, 1.0997501702946164
3.0, 7.086167395737192
